state_key,state,no,constituency_name,reserved,y2021_winner_name,y2021_winner_party,y2016_winner_name,y2016_winner_party
ASSAM,Assam,1,Ratabari (SC),SC,Bijoy Malakar,BJP,Kripanath Mallah,BJP
ASSAM,Assam,2,Patharkandi,,Krishnendu Paul,BJP,Krishnendu Paul,BJP
ASSAM,Assam,3,Karimganj North,,Kamalakhya Dey Purkayastha,INC,Kamalakhya Dey Purkayastha,INC
ASSAM,Assam,4,Karimganj South,,Siddique Ahmed,INC,Aziz Ahmed Khan,AIUDF
ASSAM,Assam,5,Badarpur,,Abdul Aziz,AIUDF,Jamal Uddin Ahmed,INC
ASSAM,Assam,6,Hailakandi,,Zakir Hussain Laskar,AIUDF,Anwar Hussain Laskar,AIUDF
ASSAM,Assam,7,Katlicherra,,Sujam Uddin Laskar,AIUDF,Suzam Uddin Laskar,AIUDF
ASSAM,Assam,8,Algapur,,Nizamuddin Choudhury,AIUDF,Nizam Uddin Choudhury,AIUDF
ASSAM,Assam,9,Silchar,,Dipayan Chakraborty,BJP,Dilip Kumar Paul,BJP
ASSAM,Assam,10,Sonai,,Karim Uddin Barbhuiya,AIUDF,Aminul Haque Laskar,BJP
ASSAM,Assam,11,Dholai (SC),SC,Parimal Suklabaidya,BJP,Parimal Suklabaidya,BJP
ASSAM,Assam,12,Udharbond,,Mihir Kanti Shome,BJP,Mihir Kanti Shome,BJP
ASSAM,Assam,13,Lakhipur,,Kaushik Rai,BJP,Rajdeep Goala,INC
ASSAM,Assam,14,Barkhola,,Misbahul Islam Laskar,INC,Kishor Nath,BJP
ASSAM,Assam,15,Katigorah,,Khalil Uddin Mazumder,INC,Amar Chand Jain,BJP
ASSAM,Assam,16,Haflong (ST),ST,Nandita Garlosa,BJP,Bir Bhadra Hagjer,BJP
ASSAM,Assam,17,Bokajan (ST),ST,Numal Momin,BJP,Numal Momin,BJP
ASSAM,Assam,18,Howraghat (ST),ST,Dorsing Ronghang,BJP,Joyram Engleng,BJP
ASSAM,Assam,19,Diphu (ST),ST,Bidya Sing Engleng,BJP,Sum Ronghang,BJP
ASSAM,Assam,20,Baithalangso (ST),ST,Rupsing Teron,BJP,Mansing Rongpi,INC
ASSAM,Assam,21,Mankachar,,Adv. Aminul Islam,AIUDF,Motiur Rohman Mondal,INC
ASSAM,Assam,22,Salmara South,,Wazed Ali Choudhury,INC,Wazed Ali Choudhury,INC
ASSAM,Assam,23,Dhubri,,Nazrul Hoque,AIUDF,Najrul Hoque,AIUDF
ASSAM,Assam,24,Gauripur,,Nijanur Rahman,AIUDF,Nijanur Rahman,AIUDF
ASSAM,Assam,25,Golakganj,,Abdus Sobahun Ali Sarkar,INC,Ashwini Roy Sarkar,BJP
ASSAM,Assam,26,Bilasipara West,,Hafiz Bashir Ahmed,AIUDF,Hafiz Bashir Ahmed,AIUDF
ASSAM,Assam,27,Bilasipara East,,Samsul Huda,AIUDF,Ashok Kumar Singhi,BJP
ASSAM,Assam,28,Gossaigaon,,Majendra Narzary,BPF,Majendra Narzary,BPF
ASSAM,Assam,29,Kokrajhar West (ST),ST,Rabiram Narzary,BPF,Rabiram Narzary,BPF
ASSAM,Assam,30,Kokrajhar East (ST),ST,Lawrence Islary,UPPL,Pramila Rani Brahma,BPF
ASSAM,Assam,31,Sidli (ST),ST,Joyanta Basumatary,UPPL,Chandan Brahma,BPF
ASSAM,Assam,32,Bongaigaon,,Phani Bhusan Choudhury,AGP,Phani Bhusan Choudhury,AGP
ASSAM,Assam,33,Bijni,,Ajoy Kumar Ray,BJP,Kamal Singh Narzary,BPF
