key,kn,type
GEN,ಸಾಮಾನ್ಯ,reserved
SC,ಎಸ್‌ಸಿ,reserved
ST,ಎಸ್‌ಟಿ,reserved
A. Anbalagan,ಎ. ಅನ್ಬಳಗನ್,string
A. Arunmozhithevan,ಎ. ಅರುಣ್ಮೋಳಿತೇವನ್,string
A. Bannari,ಎ.ಬನ್ನಾರಿ,string
A. Baskar,ಎ. ಬಾಸ್ಕರ್,string
A. C. Moideen,ಎ ಸಿ ಮೊಯ್ದೀನ್,string
A. C. Vilwanathan,A. C. ವಿಲ್ವನಾಥನ್,string
A. G. Venkatachalam,ಎ.ಜಿ.ವೆಂಕಟಾಚಲಂ,string
A. Geetha,ಎ. ಗೀತಾ,string
A. Govindasamy,ಎ.ಗೋವಿಂದಸಾಮಿ,string
A. J. Manikannan,ಎ.ಜೆ.ಮಣಿಕಣ್ಣನ್,string
A. Johnkumar,ಎ.ಜಾನ್ಕುಮಾರ್,string
A. K. Balan,ಎ.ಕೆ.ಬಾಲನ್,string
A. K. D. Arumugam,ಎ.ಕೆ.ಡಿ. ಅರುಮುಗಂ,string
A. K. M. Ashraf,ಎ.ಕೆ.ಎಂ.ಅಶ್ರಫ್,string
A. K. Saravanankumar,ಎ.ಕೆ.ಸರವಣಕುಮಾರ್,string
A. K. Saseendran,ಎ.ಕೆ.ಸಸೀಂದ್ರನ್,string
A. K. Selvaraj,ಎ.ಕೆ.ಸೆಲ್ವರಾಜ್,string
A. Krishnan,ಎ. ಕೃಷ್ಣನ್,string
A. Krishnaswamy,ಎ.ಕೃಷ್ಣಸ್ವಾಮಿ,string
A. L. S. Lakshmanan,ಎ.ಎಲ್.ಎಸ್.ಲಕ್ಷ್ಮಣನ್,string
A. M. Ariff,A. M. ಆರಿಫ್,string
A. M. H. Nazeem,ಎ.ಎಂ.ಎಚ್.ನಜೀಂ,string
A. M. S. G. Ashokan,ಎ.ಎಂ.ಎಸ್.ಜಿ.ಅಶೋಕನ್,string
A. M. V. Prabhakara Raja,ಎ.ಎಂ.ವಿ.ಪ್ರಭಾಕರ ರಾಜ,string
A. Maharajan,ಎ. ಮಹಾರಾಜನ್,string
A. Marimottou,A. ಮಾರಿಮೊಟ್ಟೌ,string
A. N. Munirathinam,ಎ.ಎನ್.ಮುನಿರತ್ನಂ,string
A. N. Shamseer,ಎ.ಎನ್.ಶಂಸೀರ್,string
A. Nallathambi,ಎ.ನಲ್ಲತಂಬಿ,string
A. Namassivayam,A. ನಮಸ್ಶಿವಾಯಂ,string
A. P. Anil Kumar,ಎ.ಪಿ.ಅನಿಲ್ ಕುಮಾರ್,string
A. P. Jayasankaran,ಎ.ಪಿ.ಜಯಶಂಕರನ್,string
A. P. Nandakumar,ಎ.ಪಿ.ನಂದಕುಮಾರ್,string
A. Prabhakaran,ಎ. ಪ್ರಭಾಕರನ್,string
A. Pradeep Kumar,ಎ.ಪ್ರದೀಪ್ ಕುಮಾರ್,string
A. R. R. Raghuraman,A. R. R. ರಘುರಾಮನ್,string
A. R. R. Seenivasan,ಎ ಆರ್ ಆರ್ ಸೀನಿವಾಸನ್,string
A. Raja,ಎ. ರಾಜಾ,string
A. Soundara Pandian,ಎ. ಸೌಂದರ ಪಾಂಡಿಯನ್,string
A. Tamilarasi,ಎ. ತಮಿಳರಸಿ,string
A. Venkatesan,ಎ. ವೆಂಕಟೇಶನ್,string
A. Vetriazhagan,ಎ. ವೆಟ್ರಿಯಾಳಗನ್,string
ABHAYAPURI,ಅಭಯಪುರಿ,string
AGP,AGP,string
AIADMK,ಎಐಎಡಿಎಂಕೆ,string
AIFB,AIFB,string
AINRC,AINRC,string
AIUDF,ಎಐಯುಡಿಎಫ್,string
ALGAPUR-KATLICHERRA,ಅಲಗಾಪುರ-ಕಟ್ಲಿಚೆರ್ರಾ,string
AMRI (ST),AMRI (ಎಸ್‌ಟಿ),string
Aassan Maulaana,ಅಸ್ಸಾನ್ ಮೌಲಾನಾ,string
Abani Mohan Joardar,ಅಬನಿ ಮೋಹನ್ ಜೋರ್ದಾರ್,string
Abdul Aziz,ಅಬ್ದುಲ್ ಅಜೀಜ್,string
Abdul Batin Khandkar,ಅಬ್ದುಲ್ ಬಾತಿನ್ ಖಂಡ್ಕರ್,string
Abdul Hameed Master,ಅಬ್ದುಲ್ ಹಮೀದ್ ಮಾಸ್ಟರ್,string
Abdul Kalam Rasheed Alam,ಅಬ್ದುಲ್ ಕಲಾಂ ರಶೀದ್ ಆಲಂ,string
