"battle_id","state_key","ac_no","constituency_name","result_day","status","story_url","candidate_name","candidate_photo","candidate_party","candidate_votes","lead_rank"
"chennai_south_2026","TAMIL_NADU","154","Chennai South","2026-05-05","Upcoming","","Durai Murugan","https://upload.wikimedia.org/wikipedia/commons/thumb/8/8e/Durai_Murugan_%28cropped%29.jpg/500px-Durai_Murugan_%28cropped%29.jpg","DMK","","1"
"chennai_south_2026","TAMIL_NADU","154","Chennai South","2026-05-05","Upcoming","","Tamilisai Soundararajan","https://upload.wikimedia.org/wikipedia/commons/thumb/0/04/Dr._Tamilisai_Soundararajan.jpg/500px-Dr._Tamilisai_Soundararajan.jpg","BJP","","2"
"chennai_south_2026","TAMIL_NADU","154","Chennai South","2026-05-05","Upcoming","","Edappadi K. Palaniswami","https://upload.wikimedia.org/wikipedia/commons/thumb/d/db/Edappadi_K_Palanisami_%28cropped%29.jpg/500px-Edappadi_K_Palanisami_%28cropped%29.jpg","AIADMK","","3"
"thiruvananthapuram_2026","KERALA","001","Thiruvananthapuram","2026-05-02","Declared","","Shashi Tharoor","https://upload.wikimedia.org/wikipedia/commons/thumb/e/e6/Shashi_Tharoor_2025.jpg/500px-Shashi_Tharoor_2025.jpg","INC","94302","1"
"thiruvananthapuram_2026","KERALA","001","Thiruvananthapuram","2026-05-02","Declared","","Rajeev Chandrasekhar","https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Rajeev_Chandrasekhar_with_PM_Modi_%28cropped%29.jpg/500px-Rajeev_Chandrasekhar_with_PM_Modi_%28cropped%29.jpg","BJP","88754","2"
"thiruvananthapuram_2026","KERALA","001","Thiruvananthapuram","2026-05-02","Declared","","Pannyan Raveendran","https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Pannyan_Raveendran.jpg/500px-Pannyan_Raveendran.jpg","CPI(M)","21983","3"
"dharmadam_2026","KERALA","011","Dharmadam","2026-05-07","Upcoming","","V.S. Achuthanandan","https://upload.wikimedia.org/wikipedia/commons/thumb/a/ae/V._S._Achuthanandan_2016.jpg/500px-V._S._Achuthanandan_2016.jpg","CPI(M)","","1"
"dharmadam_2026","KERALA","011","Dharmadam","2026-05-07","Upcoming","","K. Sudhakaran","https://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/K._Sudhakaran.jpg/500px-K._Sudhakaran.jpg","INC","","2"
"dharmadam_2026","KERALA","011","Dharmadam","2026-05-07","Upcoming","","O. Rajagopal","https://upload.wikimedia.org/wikipedia/commons/9/99/O_Rajagopal.jpg","BJP","","3"
"kolkata_north_2026","WEST_BENGAL","022","Kolkata North","2026-05-02","Counting ongoing","","Sudip Bandyopadhyay","https://upload.wikimedia.org/wikipedia/commons/thumb/4/48/Shri_Sudip_Bandyopadhyay_official_portrait.jpg/500px-Shri_Sudip_Bandyopadhyay_official_portrait.jpg","AITC","43210","1"
"kolkata_north_2026","WEST_BENGAL","022","Kolkata North","2026-05-02","Counting ongoing","","Tapas Roy","https://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Tapas_Roy.jpg/500px-Tapas_Roy.jpg","BJP","38540","2"
"kolkata_north_2026","WEST_BENGAL","022","Kolkata North","2026-05-02","Counting ongoing","","Md. Salim","https://upload.wikimedia.org/wikipedia/commons/b/bb/Mohammed_Salim_in_2023.jpg","CPI(M)","12780","3"
"jalukbari_2026","ASSAM","085","Jalukbari","2026-05-05","Upcoming","","Himanta Biswa Sarma","https://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/Himanta_Biswa_Sarma_%28cropped%29.jpg/500px-Himanta_Biswa_Sarma_%28cropped%29.jpg","BJP","","1"
"jalukbari_2026","ASSAM","085","Jalukbari","2026-05-05","Upcoming","","Rekibuddin Ahmed","https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/Rekibuddin_Ahmed.jpg/500px-Rekibuddin_Ahmed.jpg","INC","","2"
"jalukbari_2026","ASSAM","085","Jalukbari","2026-05-05","Upcoming","","Akhil Gogoi","https://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Akhil_Gogoi.jpg/500px-Akhil_Gogoi.jpg","RAIJOR DAL","","3"
"puducherry_2026","PUDUCHERRY","012","Puducherry","2026-05-05","Upcoming","","N. Rangasamy","https://upload.wikimedia.org/wikipedia/commons/thumb/8/8e/N._Rangasamy.jpg/500px-N._Rangasamy.jpg","AINRC","","1"
"puducherry_2026","PUDUCHERRY","012","Puducherry","2026-05-05","Upcoming","","V. Vaithilingam","https://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/V._Vaithilingam.jpg/500px-V._Vaithilingam.jpg","INC","","2"
"puducherry_2026","PUDUCHERRY","012","Puducherry","2026-05-05","Upcoming","","A. Namassivayam","https://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/A._Namassivayam.jpg/500px-A._Namassivayam.jpg","BJP","","3"
