"alliance","color"
"LDF","#E31E24"
"","#999999"
"NDA","#FF9933"
"OTH","#9CA3AF"
"SM","#D32F2F"
"SPA","#DD1100"
"TMC+","#23A455"
"UDF","#0078FF"
"UPA","#00BFFF"
"ASM","#99CCFF"
"SNMMK–AIPTMMK","#009688"
"TVK-NMK","#F4C542"
"PMK (R)–AIPTMMK","#66BB6A"
"NTK","#B31818"
"TVK","#FEC000"
"LF","#E31E24"
"AJUP–AIMIM","#009F3C"
"LF","#E31E24"
"AIUDF","#008000"
"MAHAJOT","#00BFFF"
"URF","#43A047"
"AINRC","#FFC000"
"AIADMK","#1E88E5"
"AIADMK+","#1E88E5"
"PWA","#7E57C2"
"PWF","#8E24AA"
"AMMK+","#43A047"
"SM","#D32F2F"
