state_key,state,no,constituency_name,reserved,y2021_winner_name,y2016_winner_name,y2021_winner_party,y2016_winner_party
ASSAM,Assam,1,GOSSAIGAON,GEN,Majendra Narzary,Majendra Narzary,BPF,BPF
ASSAM,Assam,2,DOTMA (ST),ST,,,,
ASSAM,Assam,3,KOKRAJHAR (ST),ST,,,,
ASSAM,Assam,4,BAOKHUNGRI,GEN,,,,
ASSAM,Assam,5,PARBATJHORA,GEN,,,,
ASSAM,Assam,6,GOLAKGANJ,GEN,Abdus Sobahun Ali Sarkar,Ashwini Roy Sarkar,INC,BJP
ASSAM,Assam,7,GAURIPUR,GEN,Nijanur Rahman,Nijanur Rahman,AIUDF,AIUDF
ASSAM,Assam,8,DHUBRI,GEN,Nazrul Hoque,Najrul Hoque,AIUDF,AIUDF
ASSAM,Assam,9,BIRSING JARUA,GEN,,,,
ASSAM,Assam,10,BILASIPARA,GEN,,,,
ASSAM,Assam,11,MANKACHAR,GEN,Adv. Aminul Islam,Dr. Motiur Rohman Mondal,AIUDF,INC
ASSAM,Assam,12,JALESHWAR,GEN,,,,
ASSAM,Assam,13,GOALPARA WEST (ST),ST,Md. Abdur Rashid Mandal,Abdur Rasheed Mandal,INC,INC
ASSAM,Assam,14,GOALPARA EAST,GEN,Abdul Kalam Rasheed Alam,Abdul Kalam Rasheed Alam,INC,INC
ASSAM,Assam,15,DUDHNAI (ST),ST,Jadab Sawargiary,Dipak Rabha,INC,BJP
ASSAM,Assam,16,ABHAYAPURI,GEN,,,,
ASSAM,Assam,17,SRIJANGRAM,GEN,,,,
ASSAM,Assam,18,BONGAIGAON,GEN,Phani Bhusan Choudhury,Phani Bhusan Choudhury,AGP,AGP
ASSAM,Assam,19,SIDLI CHIRANG (ST),ST,,,,
ASSAM,Assam,20,BIJNI,GEN,Ajoy Kumar Ray,Kamal Singh Narzary,BJP,BPF
ASSAM,Assam,21,BHOWANIPUR-SORBHOG,GEN,,,,
ASSAM,Assam,22,MANDIA,GEN,,,,
ASSAM,Assam,23,CHENGA,GEN,Ashraful Hussain,Sukur Ali Ahmed,AIUDF,INC
ASSAM,Assam,24,BARPETA (SC),SC,Abdur Rahim Ahmed,Gunindra Nath Das,INC,AGP
ASSAM,Assam,25,PAKABETBARI,GEN,,,,
ASSAM,Assam,26,BAJALI,GEN,,,,
ASSAM,Assam,27,CHAMARIA,GEN,,,,
ASSAM,Assam,28,BOKO-CHAYGAON (ST),ST,,,,
ASSAM,Assam,29,PALASBARI,GEN,Hemanga Thakuria,Pranab Kalita,BJP,BJP
ASSAM,Assam,30,HAJO-SUALKUCHI (SC),SC,,,,
ASSAM,Assam,31,RANGIA,GEN,Bhabesh Kalita,Bhabesh Kalita,BJP,BJP
ASSAM,Assam,32,KAMALPUR,GEN,Diganta Kalita,Satyabrat Kalita,BJP,AGP
ASSAM,Assam,33,DISPUR,GEN,Atul Bora,Atul Bora,BJP,BJP
ASSAM,Assam,34,DIMORIA (SC),SC,,,,
ASSAM,Assam,35,NEW GUWAHATI,GEN,,,,
ASSAM,Assam,36,GUWAHATI CENTRAL,GEN,,,,
ASSAM,Assam,37,JALUKBARI,GEN,Himanta Biswa Sarma,Himanta Biswa Sarma,BJP,BJP
ASSAM,Assam,38,BARKHETRI,GEN,,,,
ASSAM,Assam,39,NALBARI,GEN,Jayanta Malla Baruah,Ashok Sarma,BJP,BJP
ASSAM,Assam,40,TIHU,GEN,,,,
ASSAM,Assam,41,MANAS,GEN,,,,
ASSAM,Assam,42,BAKSA (ST),ST,,,,
ASSAM,Assam,43,TAMULPUR (ST),ST,Leho Ram Boro,Emmanuel Mosahary,UPPL,BPF
ASSAM,Assam,44,GORESWAR,GEN,,,,
ASSAM,Assam,45,BHERGAON,GEN,,,,
ASSAM,Assam,46,UDALGURI (ST),ST,Gobinda Chandra Basumatary,Rihon Daimary,UPPL,BPF
ASSAM,Assam,47,MAZBAT,GEN,,,,
ASSAM,Assam,48,TANGLA,GEN,,,,
ASSAM,Assam,49,SIPAJHAR,GEN,Parmananda Rajbongshi,Binanda Kumar Saikia,BJP,BJP
ASSAM,Assam,50,MANGALDAI,GEN,,,,
