"party_code","party","color"
"AIADMK","AIADMK","#1E88E5"
"AINRC","AINRC","#FFC000"
"BJP","BJP","#FF9933"
"CPI","CPI","#E53935"
"CPI(M)","CPI(M)","#D32F2F"
"Con(S)","Con(S)","#29B6F6"
"DMK","DMK","#DD1100"
"GJM","GJM","#8E24AA"
"INC","INC","#00BFFF"
"IND","IND","#6B7280"
"INL","INL","#976b51"
"ISF","ISF","#2E8B57"
"IUML","IUML","#2E7D32"
"JD(S)","JD(S)","#388E3C"
"JKC","JKC","#726f51"
"KC(B)","KC(B)","#c7c58f"
"KC(J)","KC(J)","#bfc68f"
"KC(M)","KC(M)","#9cc78f"
"KMDK","KMDK","#8BC34A"
"LJD","LJD","#567651"
"NCK","NCK","#867d51"
"NCP","NCP","#1976D2"
"NSC","NSC","#6e7f51"
"PMK","PMK","#FF7043"
"RMPI","RMPI","#c4c176"
"TMC","TMC","#23A455"
"UDF","UDF","#679751"
"VCK","VCK","#7B1FA2"
"AGP","AGP","#99CCFF"
"AIUDF","AIUDF","#008000"
"AJP","AJP","#0048BA"
"APHLC","APHLC","#2E86AB"
"BPF","BPF","#FF6600"
"CPI(ML)","CPI(ML)","#C00000"
"RHJM","RHJM","#C62828"
"RD","RD","#F4C300"
"UPPL","UPPL","#D4AF37"
"AAP","AAP","#00AEEF"
"JMM","JMM","#2E7D32"
"NPP","NPP","#DB7093"
"BDJS","BDJS","#FF8F00"
"BSP","BSP","#3300CC"
"CMP","CMP","#D32F2F"
"Con(S)","Con(S)","#29B6F6"
"ISJD","ISJD","#43A047"
"KC","KC ","#8BC34A"
"NCP-SP","NCP-SP","#1976D2"
"RJD","RJD","#008000"
"RSP","RSP","#B71C1C"
"RSP(L)","RSP(L)","#AD1457"
"SDPI","SDPI","#ED1C24"
"SUCI","SUCI","#8E0000"
"TTP","TTP","#6A1B9A"
"AIPTMMK","AIPTMMK","#0F9D58"
"LJK","LJK","#4CAF50"
"NMK","NMK","#FFB300"
"NTK","NTK","#B31818"
"SNMMK","SNMMK","#009688"
"TVK","TVK","#FEC000"
"AMMK","AMMK","#43A047"
"DMDK","DMDK","#FFEA19"
"IJK","IJK","#3949AB"
"KMDK","KMDK","#8BC34A"
"MDMK","MDMK","#D81B60"
"MJK","MJK","#FB8C00"
"MMK","MMK","#00A65A"
"MPP","MPP","#5E35B1"
"PBK","PBK","#7CB342"
"PMD","PMD","#EF6C00"
"PMK (R)","PMK (R)","#C0CA33"
"PNK","PNK","#8E24AA"
"PT","PT","#1E88E5"
"SIFB","SIFB","#C2185B"
"STMK","STMK","#26A69A"
"TMBSP","TMBSP","#1E40AF"
"TMC(M)","TMC(M)","#2E7D32"
"TDK","TDK","#F4511E"
"TMMK","TMMK","#00ACC1"
"VMK","VMK","#6D4C41"
"TVMK","TVMK","#00897B"
"AIFB","AIFB","#E53935"
"AIMIM","AIMIM","#009F3C"
"AJUP","AJUP","#2F855A"
"BGPM","BGPM","#FF7043"
"CPI(ML) Mass Line","CPI(ML) Mass Line","#B71C1C"
"IGJF","IGJF","#8D6E63"
"ISF","ISF","#2E8B57"
"MFB ","MFB ","#D81B60"
"RCPI","RCPI","#C62828"
"SUCI","SUCI","#8E0000"
"WBSP","WBSP","#3949AB"
