party_code,party,color
AIADMK,AIADMK,#1E88E5
AINRC,AINRC,#FBC02D
BJP,BJP,#FF9933
CPI,CPI,#E53935
CPI(M),CPI(M),#D32F2F
Con(S),Con(S),#8c5373
DMK,DMK,#DD1100
GJM,GJM,#8E24AA
INC,INC,#00BFFF
IND,IND,#6B7280
INL,INL,#976b51
ISF,ISF,#43A047
IUML,IUML,#2E7D32
JD(S),JD(S),#388E3C
JKC,JKC,#726f51
KC(B),KC(B),#c7c58f
KC(J),KC(J),#bfc68f
KC(M),KC(M),#9cc78f
KMDK,KMDK,#b99173
LJD,LJD,#567651
NCK,NCK,#867d51
NCP,NCP,#1976D2
NSC,NSC,#6e7f51
PMK,PMK,#FF7043
RMPI,RMPI,#c4c176
TMC,TMC,#23A455
UDF,UDF,#679751
VCK,VCK,#7B1FA2
