state_key,state,no,constituency_name,reserved,y2021_winner_name,y2016_winner_name,y2026_winner_name,status,updated_at,y2021_winner_party,y2016_winner_party,y2026_winner_party
ASSAM,Assam,1,GOSSAIGAON,GEN,Majendra Narzary,Majendra Narzary,,,2026-04-06T06:49:21Z,BPF,BPF,
ASSAM,Assam,2,DOTMA (ST),ST,,,,,2026-04-06T06:49:21Z,,,
ASSAM,Assam,3,KOKRAJHAR (ST),ST,,,,,2026-04-06T06:49:21Z,,,
ASSAM,Assam,4,BAOKHUNGRI,GEN,,,,,2026-04-06T06:49:21Z,,,
ASSAM,Assam,5,PARBATJHORA,GEN,,,,,2026-04-06T06:49:21Z,,,
ASSAM,Assam,6,GOLAKGANJ,GEN,Abdus Sobahun Ali Sarkar,Ashwini Roy Sarkar,,,2026-04-06T06:49:21Z,INC,BJP,
ASSAM,Assam,7,GAURIPUR,GEN,Nijanur Rahman,Nijanur Rahman,,,2026-04-06T06:49:21Z,AIUDF,AIUDF,
ASSAM,Assam,8,DHUBRI,GEN,Nazrul Hoque,Najrul Hoque,,,2026-04-06T06:49:21Z,AIUDF,AIUDF,
ASSAM,Assam,9,BIRSING JARUA,GEN,,,,,2026-04-06T06:49:21Z,,,
ASSAM,Assam,10,BILASIPARA,GEN,,,,,2026-04-06T06:49:21Z,,,
ASSAM,Assam,11,MANKACHAR,GEN,Adv. Aminul Islam,Dr. Motiur Rohman Mondal,,,2026-04-06T06:49:21Z,AIUDF,INC,
ASSAM,Assam,12,JALESHWAR,GEN,,,,,2026-04-06T06:49:21Z,,,
ASSAM,Assam,13,GOALPARA WEST (ST),ST,Md. Abdur Rashid Mandal,Abdur Rasheed Mandal,,,2026-04-06T06:49:21Z,INC,INC,
ASSAM,Assam,14,GOALPARA EAST,GEN,Abdul Kalam Rasheed Alam,Abdul Kalam Rasheed Alam,,,2026-04-06T06:49:21Z,INC,INC,
ASSAM,Assam,15,DUDHNAI (ST),ST,Jadab Sawargiary,Dipak Rabha,,,2026-04-06T06:49:21Z,INC,BJP,
ASSAM,Assam,16,ABHAYAPURI,GEN,,,,,2026-04-06T06:49:21Z,,,
ASSAM,Assam,17,SRIJANGRAM,GEN,,,,,2026-04-06T06:49:21Z,,,
ASSAM,Assam,18,BONGAIGAON,GEN,Phani Bhusan Choudhury,Phani Bhusan Choudhury,,,2026-04-06T06:49:21Z,AGP,AGP,
ASSAM,Assam,19,SIDLI CHIRANG (ST),ST,,,,,2026-04-06T06:49:21Z,,,
ASSAM,Assam,20,BIJNI,GEN,Ajoy Kumar Ray,Kamal Singh Narzary,,,2026-04-06T06:49:21Z,BJP,BPF,
ASSAM,Assam,21,BHOWANIPUR-SORBHOG,GEN,,,,,2026-04-06T06:49:21Z,,,
ASSAM,Assam,22,MANDIA,GEN,,,,,2026-04-06T06:49:21Z,,,
ASSAM,Assam,23,CHENGA,GEN,Ashraful Hussain,Sukur Ali Ahmed,,,2026-04-06T06:49:21Z,AIUDF,INC,
ASSAM,Assam,24,BARPETA (SC),SC,Abdur Rahim Ahmed,Gunindra Nath Das,,,2026-04-06T06:49:21Z,INC,AGP,
ASSAM,Assam,25,PAKABETBARI,GEN,,,,,2026-04-06T06:49:21Z,,,
ASSAM,Assam,26,BAJALI,GEN,,,,,2026-04-06T06:49:21Z,,,
ASSAM,Assam,27,CHAMARIA,GEN,,,,,2026-04-06T06:49:21Z,,,
ASSAM,Assam,28,BOKO-CHAYGAON (ST),ST,,,,,2026-04-06T06:49:21Z,,,
ASSAM,Assam,29,PALASBARI,GEN,Hemanga Thakuria,Pranab Kalita,,,2026-04-06T06:49:21Z,BJP,BJP,
ASSAM,Assam,30,HAJO-SUALKUCHI (SC),SC,,,,,2026-04-06T06:49:21Z,,,
ASSAM,Assam,31,RANGIA,GEN,Bhabesh Kalita,Bhabesh Kalita,,,2026-04-06T06:49:21Z,BJP,BJP,
ASSAM,Assam,32,KAMALPUR,GEN,Diganta Kalita,Satyabrat Kalita,,,2026-04-06T06:49:21Z,BJP,AGP,
ASSAM,Assam,33,DISPUR,GEN,Atul Bora,Atul Bora,,,2026-04-06T06:49:21Z,BJP,BJP,
ASSAM,Assam,34,DIMORIA (SC),SC,,,,,2026-04-06T06:49:21Z,,,
ASSAM,Assam,35,NEW GUWAHATI,GEN,,,,,2026-04-06T06:49:21Z,,,
ASSAM,Assam,36,GUWAHATI CENTRAL,GEN,,,,,2026-04-06T06:49:21Z,,,
ASSAM,Assam,37,JALUKBARI,GEN,Himanta Biswa Sarma,Himanta Biswa Sarma,,,2026-04-06T06:49:21Z,BJP,BJP,
ASSAM,Assam,38,BARKHETRI,GEN,,,,,2026-04-06T06:49:21Z,,,
ASSAM,Assam,39,NALBARI,GEN,Jayanta Malla Baruah,Ashok Sarma,,,2026-04-06T06:49:21Z,BJP,BJP,
ASSAM,Assam,40,TIHU,GEN,,,,,2026-04-06T06:49:21Z,,,
ASSAM,Assam,41,MANAS,GEN,,,,,2026-04-06T06:49:21Z,,,
ASSAM,Assam,42,BAKSA (ST),ST,,,,,2026-04-06T06:49:21Z,,,
ASSAM,Assam,43,TAMULPUR (ST),ST,Leho Ram Boro,Emmanuel Mosahary,,,2026-04-06T06:49:21Z,UPPL,BPF,
ASSAM,Assam,44,GORESWAR,GEN,,,,,2026-04-06T06:49:21Z,,,
ASSAM,Assam,45,BHERGAON,GEN,,,,,2026-04-06T06:49:21Z,,,
ASSAM,Assam,46,UDALGURI (ST),ST,Gobinda Chandra Basumatary,Rihon Daimary,,,2026-04-06T06:49:21Z,UPPL,BPF,
ASSAM,Assam,47,MAZBAT,GEN,,,,,2026-04-06T06:49:21Z,,,
ASSAM,Assam,48,TANGLA,GEN,,,,,2026-04-06T06:49:21Z,,,
ASSAM,Assam,49,SIPAJHAR,GEN,Parmananda Rajbongshi,Binanda Kumar Saikia,,,2026-04-06T06:49:21Z,BJP,BJP,
ASSAM,Assam,50,MANGALDAI,GEN,,,,,2026-04-06T06:49:21Z,,,
ASSAM,Assam,51,DALGAON,GEN,Mazibur Rahman,Ilias Ali,,,2026-04-06T06:49:21Z,AIUDF,INC,
ASSAM,Assam,52,JAGIROAD (SC),SC,Pijush Hazarika,Pijush Hazarika,,,2026-04-06T06:49:21Z,BJP,BJP,
ASSAM,Assam,53,LAHARIGHAT,GEN,Dr. Asif Mohammad Nazar,Nazrul Islam,,,2026-04-06T06:49:21Z,INC,INC,
ASSAM,Assam,54,MORIGAON,GEN,,,,,2026-04-06T06:49:21Z,,,
ASSAM,Assam,55,DHING,GEN,Aminul Islam,Aminul Islam,,,2026-04-06T06:49:21Z,AIUDF,AIUDF,
ASSAM,Assam,56,RUPAHIHAT,GEN,,,,,2026-04-06T06:49:21Z,,,
ASSAM,Assam,57,KALIABOR,GEN,Keshab Mahanta,Keshab Mahanta,,,2026-04-06T06:49:21Z,AGP,AGP,
ASSAM,Assam,58,SAMAGURI,GEN,Rakibul Hussain,Rakibul Hussain,,,2026-04-06T06:49:21Z,INC,INC,
