"state_key","state","no","y2026_winner_name","status","updated_at","y2026_winner_party"
"ASSAM","Assam","1","NA","","2026-04-06T06:49:21Z","NA"
"ASSAM","Assam","2","NA","","2026-04-06T06:49:21Z","NA"
"ASSAM","Assam","3","NA","","2026-04-06T06:49:21Z","NA"
"ASSAM","Assam","4","NA","","2026-04-06T06:49:21Z","NA"
"ASSAM","Assam","5","NA","","2026-04-06T06:49:21Z","NA"
"ASSAM","Assam","6","NA","","2026-04-06T06:49:21Z","NA"
"ASSAM","Assam","7","NA","","2026-04-06T06:49:21Z","NA"
"ASSAM","Assam","8","NA","","2026-04-06T06:49:21Z","NA"
"ASSAM","Assam","9","NA","","2026-04-06T06:49:21Z","NA"
"ASSAM","Assam","10","NA","","2026-04-06T06:49:21Z","NA"
"ASSAM","Assam","11","NA","","2026-04-06T06:49:21Z","NA"
"ASSAM","Assam","12","NA","","2026-04-06T06:49:21Z","NA"
"ASSAM","Assam","13","NA","","2026-04-06T06:49:21Z","NA"
"ASSAM","Assam","14","NA","","2026-04-06T06:49:21Z","NA"
"ASSAM","Assam","15","NA","","2026-04-06T06:49:21Z","NA"
"ASSAM","Assam","16","NA","","2026-04-06T06:49:21Z","NA"
"ASSAM","Assam","17","NA","","2026-04-06T06:49:21Z","NA"
"ASSAM","Assam","18","NA","","2026-04-06T06:49:21Z","NA"
"ASSAM","Assam","19","NA","","2026-04-06T06:49:21Z","NA"
"ASSAM","Assam","20","NA","","2026-04-06T06:49:21Z","NA"
"ASSAM","Assam","21","NA","","2026-04-06T06:49:21Z","NA"
"ASSAM","Assam","22","NA","","2026-04-06T06:49:21Z","NA"
"ASSAM","Assam","23","NA","","2026-04-06T06:49:21Z","NA"
"ASSAM","Assam","24","NA","","2026-04-06T06:49:21Z","NA"
"ASSAM","Assam","25","NA","","2026-04-06T06:49:21Z","NA"
"ASSAM","Assam","26","NA","","2026-04-06T06:49:21Z","NA"
"ASSAM","Assam","27","NA","","2026-04-06T06:49:21Z","NA"
"ASSAM","Assam","28","NA","","2026-04-06T06:49:21Z","NA"
"ASSAM","Assam","29","NA","","2026-04-06T06:49:21Z","NA"
"ASSAM","Assam","30","NA","","2026-04-06T06:49:21Z","NA"
"ASSAM","Assam","31","NA","","2026-04-06T06:49:21Z","NA"
"ASSAM","Assam","32","NA","","2026-04-06T06:49:21Z","NA"
"ASSAM","Assam","33","NA","","2026-04-06T06:49:21Z","NA"
"ASSAM","Assam","34","NA","","2026-04-06T06:49:21Z","NA"
"ASSAM","Assam","35","NA","","2026-04-06T06:49:21Z","NA"
"ASSAM","Assam","36","NA","","2026-04-06T06:49:21Z","NA"
"ASSAM","Assam","37","NA","","2026-04-06T06:49:21Z","NA"
"ASSAM","Assam","38","NA","","2026-04-06T06:49:21Z","NA"
"ASSAM","Assam","39","NA","","2026-04-06T06:49:21Z","NA"
"ASSAM","Assam","40","NA","","2026-04-06T06:49:21Z","NA"
"ASSAM","Assam","41","NA","","2026-04-06T06:49:21Z","NA"
"ASSAM","Assam","42","NA","","2026-04-06T06:49:21Z","NA"
"ASSAM","Assam","43","NA","","2026-04-06T06:49:21Z","NA"
"ASSAM","Assam","44","NA","","2026-04-06T06:49:21Z","NA"
"ASSAM","Assam","45","NA","","2026-04-06T06:49:21Z","NA"
"ASSAM","Assam","46","NA","","2026-04-06T06:49:21Z","NA"
"ASSAM","Assam","47","NA","","2026-04-06T06:49:21Z","NA"
"ASSAM","Assam","48","NA","","2026-04-06T06:49:21Z","NA"
"ASSAM","Assam","49","NA","","2026-04-06T06:49:21Z","NA"
"ASSAM","Assam","50","NA","","2026-04-06T06:49:21Z","NA"
"ASSAM","Assam","51","NA","","2026-04-06T06:49:21Z","NA"
"ASSAM","Assam","52","NA","","2026-04-06T06:49:21Z","NA"
"ASSAM","Assam","53","NA","","2026-04-06T06:49:21Z","NA"
"ASSAM","Assam","54","NA","","2026-04-06T06:49:21Z","NA"
"ASSAM","Assam","55","NA","","2026-04-06T06:49:21Z","NA"
"ASSAM","Assam","56","NA","","2026-04-06T06:49:21Z","NA"
"ASSAM","Assam","57","NA","","2026-04-06T06:49:21Z","NA"
"ASSAM","Assam","58","NA","","2026-04-06T06:49:21Z","NA"
"ASSAM","Assam","59","NA","","2026-04-06T06:49:21Z","NA"
"ASSAM","Assam","60","NA","","2026-04-06T06:49:21Z","NA"
"ASSAM","Assam","61","NA","","2026-04-06T06:49:21Z","NA"
"ASSAM","Assam","62","NA","","2026-04-06T06:49:21Z","NA"
"ASSAM","Assam","63","NA","","2026-04-06T06:49:21Z","NA"
"ASSAM","Assam","64","NA","","2026-04-06T06:49:21Z","NA"
"ASSAM","Assam","65","NA","","2026-04-06T06:49:21Z","NA"
"ASSAM","Assam","66","NA","","2026-04-06T06:49:21Z","NA"
"ASSAM","Assam","67","NA","","2026-04-06T06:49:21Z","NA"
"ASSAM","Assam","68","NA","","2026-04-06T06:49:21Z","NA"
"ASSAM","Assam","69","NA","","2026-04-06T06:49:21Z","NA"
"ASSAM","Assam","70","NA","","2026-04-06T06:49:21Z","NA"
"ASSAM","Assam","71","NA","","2026-04-06T06:49:21Z","NA"
"ASSAM","Assam","72","NA","","2026-04-06T06:49:21Z","NA"
"ASSAM","Assam","73","NA","","2026-04-06T06:49:21Z","NA"
"ASSAM","Assam","74","NA","","2026-04-06T06:49:21Z","NA"
"ASSAM","Assam","75","NA","","2026-04-06T06:49:21Z","NA"
"ASSAM","Assam","76","NA","","2026-04-06T06:49:21Z","NA"
"ASSAM","Assam","77","NA","","2026-04-06T06:49:21Z","NA"
"ASSAM","Assam","78","NA","","2026-04-06T06:49:21Z","NA"
"ASSAM","Assam","79","NA","","2026-04-06T06:49:21Z","NA"
"ASSAM","Assam","80","NA","","2026-04-06T06:49:21Z","NA"
"ASSAM","Assam","81","NA","","2026-04-06T06:49:21Z","NA"
"ASSAM","Assam","82","NA","","2026-04-06T06:49:21Z","NA"
"ASSAM","Assam","83","NA","","2026-04-06T06:49:21Z","NA"
"ASSAM","Assam","84","NA","","2026-04-06T06:49:21Z","NA"
"ASSAM","Assam","85","NA","","2026-04-06T06:49:21Z","NA"
"ASSAM","Assam","86","NA","","2026-04-06T06:49:21Z","NA"
"ASSAM","Assam","87","NA","","2026-04-06T06:49:21Z","NA"
"ASSAM","Assam","88","NA","","2026-04-06T06:49:21Z","NA"
"ASSAM","Assam","89","NA","","2026-04-06T06:49:21Z","NA"
"ASSAM","Assam","90","NA","","2026-04-06T06:49:21Z","NA"
"ASSAM","Assam","91","NA","","2026-04-06T06:49:21Z","NA"
"ASSAM","Assam","92","NA","","2026-04-06T06:49:21Z","NA"
"ASSAM","Assam","93","NA","","2026-04-06T06:49:21Z","NA"
"ASSAM","Assam","94","NA","","2026-04-06T06:49:21Z","NA"
"ASSAM","Assam","95","NA","","2026-04-06T06:49:21Z","NA"
"ASSAM","Assam","96","NA","","2026-04-06T06:49:21Z","NA"
"ASSAM","Assam","97","NA","","2026-04-06T06:49:21Z","NA"
"ASSAM","Assam","98","NA","","2026-04-06T06:49:21Z","NA"
"ASSAM","Assam","99","NA","","2026-04-06T06:49:21Z","NA"
"ASSAM","Assam","100","NA","","2026-04-06T06:49:21Z","NA"
"ASSAM","Assam","101","NA","","2026-04-06T06:49:21Z","NA"
"ASSAM","Assam","102","NA","","2026-04-06T06:49:21Z","NA"
"ASSAM","Assam","103","NA","","2026-04-06T06:49:21Z","NA"
"ASSAM","Assam","104","NA","","2026-04-06T06:49:21Z","NA"
"ASSAM","Assam","105","NA","","2026-04-06T06:49:21Z","NA"
"ASSAM","Assam","106","NA","","2026-04-06T06:49:21Z","NA"
"ASSAM","Assam","107","NA","","2026-04-06T06:49:21Z","NA"
"ASSAM","Assam","108","NA","","2026-04-06T06:49:21Z","NA"
"ASSAM","Assam","109","NA","","2026-04-06T06:49:21Z","NA"
"ASSAM","Assam","110","NA","","2026-04-06T06:49:21Z","NA"
"ASSAM","Assam","111","NA","","2026-04-06T06:49:21Z","NA"
"ASSAM","Assam","112","NA","","2026-04-06T06:49:21Z","NA"
"ASSAM","Assam","113","NA","","2026-04-06T06:49:21Z","NA"
"ASSAM","Assam","114","NA","","2026-04-06T06:49:21Z","NA"
"ASSAM","Assam","115","NA","","2026-04-06T06:49:21Z","NA"
"ASSAM","Assam","116","NA","","2026-04-06T06:49:21Z","NA"
"ASSAM","Assam","117","NA","","2026-04-06T06:49:21Z","NA"
"ASSAM","Assam","118","NA","","2026-04-06T06:49:21Z","NA"
"ASSAM","Assam","119","NA","","2026-04-06T06:49:21Z","NA"
"ASSAM","Assam","120","NA","","2026-04-06T06:49:21Z","NA"
"ASSAM","Assam","121","NA","","2026-04-06T06:49:21Z","NA"
"ASSAM","Assam","122","NA","","2026-04-06T06:49:21Z","NA"
"ASSAM","Assam","123","NA","","2026-04-06T06:49:21Z","NA"
"ASSAM","Assam","124","NA","","2026-04-06T06:49:21Z","NA"
"ASSAM","Assam","125","NA","","2026-04-06T06:49:21Z","NA"
"ASSAM","Assam","126","NA","","2026-04-06T06:49:21Z","NA"
"KERALA","Kerala","1","NA","","2026-04-06T06:49:21Z","NA"
"KERALA","Kerala","2","NA","","2026-04-06T06:49:21Z","NA"
"KERALA","Kerala","3","NA","","2026-04-06T06:49:21Z","NA"
"KERALA","Kerala","4","NA","","2026-04-06T06:49:21Z","NA"
"KERALA","Kerala","5","NA","","2026-04-06T06:49:21Z","NA"
"KERALA","Kerala","6","NA","","2026-04-06T06:49:21Z","NA"
"KERALA","Kerala","7","NA","","2026-04-06T06:49:21Z","NA"
"KERALA","Kerala","8","NA","","2026-04-06T06:49:21Z","NA"
"KERALA","Kerala","9","NA","","2026-04-06T06:49:21Z","NA"
"KERALA","Kerala","10","NA","","2026-04-06T06:49:21Z","NA"
"KERALA","Kerala","11","NA","","2026-04-06T06:49:21Z","NA"
"KERALA","Kerala","12","NA","","2026-04-06T06:49:21Z","NA"
"KERALA","Kerala","13","NA","","2026-04-06T06:49:21Z","NA"
"KERALA","Kerala","14","NA","","2026-04-06T06:49:21Z","NA"
"KERALA","Kerala","15","NA","","2026-04-06T06:49:21Z","NA"
"KERALA","Kerala","16","NA","","2026-04-06T06:49:21Z","NA"
"KERALA","Kerala","17","NA","","2026-04-06T06:49:21Z","NA"
"KERALA","Kerala","18","NA","","2026-04-06T06:49:21Z","NA"
"KERALA","Kerala","19","NA","","2026-04-06T06:49:21Z","NA"
"KERALA","Kerala","20","NA","","2026-04-06T06:49:21Z","NA"
"KERALA","Kerala","21","NA","","2026-04-06T06:49:21Z","NA"
"KERALA","Kerala","22","NA","","2026-04-06T06:49:21Z","NA"
"KERALA","Kerala","23","NA","","2026-04-06T06:49:21Z","NA"
"KERALA","Kerala","24","NA","","2026-04-06T06:49:21Z","NA"
"KERALA","Kerala","25","NA","","2026-04-06T06:49:21Z","NA"
"KERALA","Kerala","26","NA","","2026-04-06T06:49:21Z","NA"
"KERALA","Kerala","27","NA","","2026-04-06T06:49:21Z","NA"
"KERALA","Kerala","28","NA","","2026-04-06T06:49:21Z","NA"
"KERALA","Kerala","29","NA","","2026-04-06T06:49:21Z","NA"
"KERALA","Kerala","30","NA","","2026-04-06T06:49:21Z","NA"
"KERALA","Kerala","31","NA","","2026-04-06T06:49:21Z","NA"
"KERALA","Kerala","32","NA","","2026-04-06T06:49:21Z","NA"
"KERALA","Kerala","33","NA","","2026-04-06T06:49:21Z","NA"
"KERALA","Kerala","34","NA","","2026-04-06T06:49:21Z","NA"
"KERALA","Kerala","35","NA","","2026-04-06T06:49:21Z","NA"
"KERALA","Kerala","36","NA","","2026-04-06T06:49:21Z","NA"
"KERALA","Kerala","37","NA","","2026-04-06T06:49:21Z","NA"
"KERALA","Kerala","38","NA","","2026-04-06T06:49:21Z","NA"
"KERALA","Kerala","39","NA","","2026-04-06T06:49:21Z","NA"
"KERALA","Kerala","40","NA","","2026-04-06T06:49:21Z","NA"
"KERALA","Kerala","41","NA","","2026-04-06T06:49:21Z","NA"
"KERALA","Kerala","42","NA","","2026-04-06T06:49:21Z","NA"
"KERALA","Kerala","43","NA","","2026-04-06T06:49:21Z","NA"
"KERALA","Kerala","44","NA","","2026-04-06T06:49:21Z","NA"
"KERALA","Kerala","45","NA","","2026-04-06T06:49:21Z","NA"
"KERALA","Kerala","46","NA","","2026-04-06T06:49:21Z","NA"
"KERALA","Kerala","47","NA","","2026-04-06T06:49:21Z","NA"
"KERALA","Kerala","48","NA","","2026-04-06T06:49:21Z","NA"
"KERALA","Kerala","49","NA","","2026-04-06T06:49:21Z","NA"
"KERALA","Kerala","50","NA","","2026-04-06T06:49:21Z","NA"
"KERALA","Kerala","51","NA","","2026-04-06T06:49:21Z","NA"
"KERALA","Kerala","52","NA","","2026-04-06T06:49:21Z","NA"
"KERALA","Kerala","53","NA","","2026-04-06T06:49:21Z","NA"
"KERALA","Kerala","54","NA","","2026-04-06T06:49:21Z","NA"
"KERALA","Kerala","55","NA","","2026-04-06T06:49:21Z","NA"
"KERALA","Kerala","56","NA","","2026-04-06T06:49:21Z","NA"
"KERALA","Kerala","57","NA","","2026-04-06T06:49:21Z","NA"
"KERALA","Kerala","58","NA","","2026-04-06T06:49:21Z","NA"
"KERALA","Kerala","59","NA","","2026-04-06T06:49:21Z","NA"
"KERALA","Kerala","60","NA","","2026-04-06T06:49:21Z","NA"
"KERALA","Kerala","61","NA","","2026-04-06T06:49:21Z","NA"
"KERALA","Kerala","62","NA","","2026-04-06T06:49:21Z","NA"
"KERALA","Kerala","63","NA","","2026-04-06T06:49:21Z","NA"
"KERALA","Kerala","64","NA","","2026-04-06T06:49:21Z","NA"
"KERALA","Kerala","65","NA","","2026-04-06T06:49:21Z","NA"
"KERALA","Kerala","66","NA","","2026-04-06T06:49:21Z","NA"
"KERALA","Kerala","67","NA","","2026-04-06T06:49:21Z","NA"
"KERALA","Kerala","68","NA","","2026-04-06T06:49:21Z","NA"
"KERALA","Kerala","69","NA","","2026-04-06T06:49:21Z","NA"
"KERALA","Kerala","70","NA","","2026-04-06T06:49:21Z","NA"
"KERALA","Kerala","71","NA","","2026-04-06T06:49:21Z","NA"
"KERALA","Kerala","72","NA","","2026-04-06T06:49:21Z","NA"
"KERALA","Kerala","73","NA","","2026-04-06T06:49:21Z","NA"
"KERALA","Kerala","74","NA","","2026-04-06T06:49:21Z","NA"
"KERALA","Kerala","75","NA","","2026-04-06T06:49:21Z","NA"
"KERALA","Kerala","76","NA","","2026-04-06T06:49:21Z","NA"
"KERALA","Kerala","77","NA","","2026-04-06T06:49:21Z","NA"
"KERALA","Kerala","78","NA","","2026-04-06T06:49:21Z","NA"
"KERALA","Kerala","79","NA","","2026-04-06T06:49:21Z","NA"
"KERALA","Kerala","80","NA","","2026-04-06T06:49:21Z","NA"
"KERALA","Kerala","81","NA","","2026-04-06T06:49:21Z","NA"
