state_key,state,party_code,party,year,alliance,source_rows,notes
ASSAM,Assam,AGP,AGP,2016,NDA,11,
ASSAM,Assam,AGP,AGP,2021,NDA,6,
ASSAM,Assam,AIUDF,AIUDF,2016,MAHAJOT,5,
ASSAM,Assam,AIUDF,AIUDF,2021,MAHAJOT,8,
ASSAM,Assam,BJP,BJP,2016,NDA,41,
ASSAM,Assam,BJP,BJP,2021,NDA,45,
ASSAM,Assam,BPF,BPF,2016,MAHAJOT,4,
ASSAM,Assam,BPF,BPF,2021,MAHAJOT,1,
ASSAM,Assam,INC,INC,2016,MAHAJOT,15,
ASSAM,Assam,INC,INC,2021,MAHAJOT,14,
ASSAM,Assam,IND,IND,2016,OTH,1,
ASSAM,Assam,IND,IND,2021,OTH,1,
ASSAM,Assam,UPPL,UPPL,2021,NDA,2,
KERALA,Kerala,BJP,BJP,2016,NDA,1,
KERALA,Kerala,CMP(A),CMP(A),2016,OTH,1,
KERALA,Kerala,CPI,CPI,2016,LDF,17,
KERALA,Kerala,CPI,CPI,2021,LDF,17,
KERALA,Kerala,CPI(M),CPI(M),2016,LDF,60,
KERALA,Kerala,CPI(M),CPI(M),2021,LDF,62,
KERALA,Kerala,Con(S),Con(S),2021,LDF,1,
KERALA,Kerala,Congress (Secular),Congress (Secular),2016,OTH,1,
KERALA,Kerala,INC,INC,2016,UDF,22,
KERALA,Kerala,INC,INC,2021,UDF,21,
KERALA,Kerala,IND,IND,2016,OTH,6,
KERALA,Kerala,IND,IND,2021,LDF,5,
KERALA,Kerala,INL,INL,2021,LDF,1,
KERALA,Kerala,IUML,IUML,2016,UDF,18,
KERALA,Kerala,IUML,IUML,2021,UDF,15,
KERALA,Kerala,JD(S),JD(S),2016,LDF,3,
KERALA,Kerala,JD(S),JD(S),2021,LDF,2,
KERALA,Kerala,JKC,JKC,2021,LDF,1,
KERALA,Kerala,KC(B),KC(B),2021,LDF,1,
KERALA,Kerala,KC(J),KC(J),2021,UDF,1,
KERALA,Kerala,KC(M),KC(M),2021,LDF,5,
KERALA,Kerala,Kerala Congress (B),Kerala Congress (B),2016,OTH,1,
KERALA,Kerala,Kerala Congress (Jacob),Kerala Congress (Jacob),2016,OTH,1,
KERALA,Kerala,Kerala Congress (Mani),Kerala Congress (Mani),2016,OTH,6,
KERALA,Kerala,LJD,LJD,2021,LDF,1,
KERALA,Kerala,NCK,NCK,2021,UDF,1,
KERALA,Kerala,NCP,NCP,2016,LDF,2,
KERALA,Kerala,NCP,NCP,2021,LDF,2,
KERALA,Kerala,NSC,NSC,2021,LDF,1,
KERALA,Kerala,National Secular Conference,National Secular Conference,2016,OTH,1,
KERALA,Kerala,RMPI,RMPI,2021,UDF,1,
KERALA,Kerala,UDF,UDF,2021,UDF,2,
PUDUCHERRY,Puducherry,A. K. D. Arumugam,A. K. D. Arumugam,2016,OTH,1,
PUDUCHERRY,Puducherry,A. Krishnan,A. Krishnan,2016,OTH,1,
PUDUCHERRY,Puducherry,A. M. H. Nazeem,A. M. H. Nazeem,2016,OTH,1,
PUDUCHERRY,Puducherry,A. Marimottou,A. Marimottou,2016,OTH,1,
PUDUCHERRY,Puducherry,AINRC,AINRC,2021,NDA,10,
PUDUCHERRY,Puducherry,Annibal Kennedy,Annibal Kennedy,2016,OTH,1,
PUDUCHERRY,Puducherry,BJP,BJP,2021,NDA,6,
PUDUCHERRY,Puducherry,DMK,DMK,2021,UPA,6,
PUDUCHERRY,Puducherry,G. Nehru Kuppusamy,G. Nehru Kuppusamy,2016,OTH,1,
PUDUCHERRY,Puducherry,INC,INC,2016,UPA,15,
PUDUCHERRY,Puducherry,INC,INC,2021,UPA,2,
PUDUCHERRY,Puducherry,IND,IND,2021,OTH,6,
PUDUCHERRY,Puducherry,J. Prakash Kumar,J. Prakash Kumar,2016,OTH,1,
PUDUCHERRY,Puducherry,K. Sethu Sethuselvam,K. Sethu Sethuselvam,2016,OTH,1,
PUDUCHERRY,Puducherry,M. V. Omalingam,M. V. Omalingam,2016,OTH,1,
PUDUCHERRY,Puducherry,P. Angalane,P. Angalane,2016,OTH,1,
PUDUCHERRY,Puducherry,Party color cell Independent,Party color cell Independent,2016,OTH,1,
PUDUCHERRY,Puducherry,S. Kumaravel,S. Kumaravel,2016,OTH,1,
PUDUCHERRY,Puducherry,S. Ramesh,S. Ramesh,2016,OTH,1,
PUDUCHERRY,Puducherry,V. Balan,V. Balan,2016,OTH,1,
PUDUCHERRY,Puducherry,V. M. C. Sivakumar,V. M. C. Sivakumar,2016,OTH,1,
TAMIL_NADU,Tamil Nadu,AIADMK,AIADMK,2016,NDA,136,
TAMIL_NADU,Tamil Nadu,AIADMK,AIADMK,2021,NDA,66,
TAMIL_NADU,Tamil Nadu,BJP,BJP,2021,NDA,4,
TAMIL_NADU,Tamil Nadu,CPI,CPI,2021,SPA,2,
TAMIL_NADU,Tamil Nadu,CPI(M),CPI(M),2021,SPA,2,
TAMIL_NADU,Tamil Nadu,DMK,DMK,2016,SPA,89,
TAMIL_NADU,Tamil Nadu,DMK,DMK,2021,SPA,132,
TAMIL_NADU,Tamil Nadu,INC,INC,2016,SPA,8,
TAMIL_NADU,Tamil Nadu,INC,INC,2021,SPA,18,
TAMIL_NADU,Tamil Nadu,IUML,IUML,2016,SPA,1,
TAMIL_NADU,Tamil Nadu,KMDK,KMDK,2021,SPA,1,
TAMIL_NADU,Tamil Nadu,PMK,PMK,2021,NDA,5,
TAMIL_NADU,Tamil Nadu,VCK,VCK,2021,SPA,4,
WEST_BENGAL,West Bengal,AIFB,AIFB,2016,SM,2,
WEST_BENGAL,West Bengal,BJP,BJP,2016,NDA,3,
WEST_BENGAL,West Bengal,BJP,BJP,2021,NDA,77,
WEST_BENGAL,West Bengal,CPI,CPI,2016,SM,1,
WEST_BENGAL,West Bengal,CPI(M),CPI(M),2016,SM,26,
WEST_BENGAL,West Bengal,GJM,GJM,2016,NDA,3,
WEST_BENGAL,West Bengal,GJM,GJM,2021,NDA,1,
WEST_BENGAL,West Bengal,INC,INC,2016,SM,44,
WEST_BENGAL,West Bengal,IND,IND,2016,OTH,1,
WEST_BENGAL,West Bengal,ISF,ISF,2021,SM,1,
WEST_BENGAL,West Bengal,RSP,RSP,2016,SM,3,
WEST_BENGAL,West Bengal,TMC,TMC,2016,TMC,211,
WEST_BENGAL,West Bengal,TMC,TMC,2021,TMC,215,
