"state_key","state","year","party_code","party","wins","leads"
"ASSAM","Assam","2016","AGP","AGP","14","0"
"ASSAM","Assam","2016","AIUDF","AIUDF","13","0"
"ASSAM","Assam","2016","BJP","BJP","60","0"
"ASSAM","Assam","2016","BPF","BPF","12","0"
"ASSAM","Assam","2016","CPI(M)","CPI(M)","0","0"
"ASSAM","Assam","2016","INC","INC","26","0"
"ASSAM","Assam","2016","IND","IND","1","0"
"ASSAM","Assam","2016","UPPL","UPPL","0","0"
"ASSAM","Assam","2021","AGP","AGP","9","0"
"ASSAM","Assam","2021","AIUDF","AIUDF","16","0"
"ASSAM","Assam","2021","BJP","BJP","60","0"
"ASSAM","Assam","2021","BPF","BPF","4","0"
"ASSAM","Assam","2021","CPI(M)","CPI(M)","1","0"
"ASSAM","Assam","2021","INC","INC","29","0"
"ASSAM","Assam","2021","IND","IND","1","0"
"ASSAM","Assam","2021","UPPL","UPPL","6","0"
"KERALA","Kerala","2016","BJP","BJP","1","0"
"KERALA","Kerala","2016","CMP(A)","CMP(A)","1","0"
"KERALA","Kerala","2016","Con(S)","Con(S)","1","0"
"KERALA","Kerala","2016","CPI","CPI","17","0"
"KERALA","Kerala","2016","CPI(M)","CPI(M)","60","0"
"KERALA","Kerala","2016","INC","INC","22","0"
"KERALA","Kerala","2016","IND","IND","6","0"
"KERALA","Kerala","2016","INL","INL","0","0"
"KERALA","Kerala","2016","IUML","IUML","18","0"
"KERALA","Kerala","2016","JD(S)","JD(S)","3","0"
"KERALA","Kerala","2016","JKC","JKC","0","0"
"KERALA","Kerala","2016","KC(B)","KC(B)","1","0"
"KERALA","Kerala","2016","KC(J)","KC(J)","1","0"
"KERALA","Kerala","2016","KC(M)","KC(M)","6","0"
"KERALA","Kerala","2016","LJD","LJD","0","0"
"KERALA","Kerala","2016","NCK","NCK","0","0"
"KERALA","Kerala","2016","NCP","NCP","2","0"
"KERALA","Kerala","2016","NSC","NSC","1","0"
"KERALA","Kerala","2016","RMPI","RMPI","0","0"
"KERALA","Kerala","2016","UDF","UDF","0","0"
"KERALA","Kerala","2021","BJP","BJP","0","0"
"KERALA","Kerala","2021","CMP(A)","CMP(A)","0","0"
"KERALA","Kerala","2021","Con(S)","Con(S)","1","0"
"KERALA","Kerala","2021","CPI","CPI","17","0"
"KERALA","Kerala","2021","CPI(M)","CPI(M)","62","0"
"KERALA","Kerala","2021","INC","INC","21","0"
"KERALA","Kerala","2021","IND","IND","5","0"
"KERALA","Kerala","2021","INL","INL","1","0"
"KERALA","Kerala","2021","IUML","IUML","15","0"
"KERALA","Kerala","2021","JD(S)","JD(S)","2","0"
"KERALA","Kerala","2021","JKC","JKC","1","0"
"KERALA","Kerala","2021","KC(B)","KC(B)","1","0"
"KERALA","Kerala","2021","KC(J)","KC(J)","1","0"
"KERALA","Kerala","2021","KC(M)","KC(M)","5","0"
"KERALA","Kerala","2021","LJD","LJD","1","0"
"KERALA","Kerala","2021","NCK","NCK","1","0"
"KERALA","Kerala","2021","NCP","NCP","2","0"
"KERALA","Kerala","2021","NSC","NSC","1","0"
"KERALA","Kerala","2021","RMPI","RMPI","1","0"
"KERALA","Kerala","2021","UDF","UDF","2","0"
"PUDUCHERRY","Puducherry","2016","AINRC","AINRC","8","0"
"PUDUCHERRY","Puducherry","2016","BJP","BJP","0","0"
"PUDUCHERRY","Puducherry","2016","DMK","DMK","3","0"
"PUDUCHERRY","Puducherry","2016","INC","INC","15","0"
"PUDUCHERRY","Puducherry","2016","IND","IND","4","0"
"PUDUCHERRY","Puducherry","2021","AINRC","AINRC","10","0"
"PUDUCHERRY","Puducherry","2021","BJP","BJP","6","0"
"PUDUCHERRY","Puducherry","2021","DMK","DMK","6","0"
"PUDUCHERRY","Puducherry","2021","INC","INC","2","0"
"PUDUCHERRY","Puducherry","2021","IND","IND","6","0"
"TAMIL_NADU","Tamil Nadu","2016","AIADMK","AIADMK","136","0"
"TAMIL_NADU","Tamil Nadu","2016","BJP","BJP","0","0"
"TAMIL_NADU","Tamil Nadu","2016","CPI","CPI","0","0"
"TAMIL_NADU","Tamil Nadu","2016","CPI(M)","CPI(M)","0","0"
"TAMIL_NADU","Tamil Nadu","2016","DMK","DMK","89","0"
"TAMIL_NADU","Tamil Nadu","2016","INC","INC","8","0"
"TAMIL_NADU","Tamil Nadu","2016","IUML","IUML","1","0"
"TAMIL_NADU","Tamil Nadu","2016","KMDK","KMDK","0","0"
"TAMIL_NADU","Tamil Nadu","2016","PMK","PMK","0","0"
"TAMIL_NADU","Tamil Nadu","2016","VCK","VCK","0","0"
"TAMIL_NADU","Tamil Nadu","2021","AIADMK","AIADMK","66","0"
"TAMIL_NADU","Tamil Nadu","2021","BJP","BJP","4","0"
"TAMIL_NADU","Tamil Nadu","2021","CPI","CPI","2","0"
"TAMIL_NADU","Tamil Nadu","2021","CPI(M)","CPI(M)","2","0"
"TAMIL_NADU","Tamil Nadu","2021","DMK","DMK","132","0"
"TAMIL_NADU","Tamil Nadu","2021","INC","INC","18","0"
"TAMIL_NADU","Tamil Nadu","2021","IUML","IUML","0","0"
"TAMIL_NADU","Tamil Nadu","2021","KMDK","KMDK","1","0"
"TAMIL_NADU","Tamil Nadu","2021","PMK","PMK","5","0"
"TAMIL_NADU","Tamil Nadu","2021","VCK","VCK","4","0"
"WEST_BENGAL","West Bengal","2016","AIFB","AIFB","2","0"
"WEST_BENGAL","West Bengal","2016","BJP","BJP","3","0"
"WEST_BENGAL","West Bengal","2016","CPI","CPI","1","0"
"WEST_BENGAL","West Bengal","2016","CPI(M)","CPI(M)","26","0"
"WEST_BENGAL","West Bengal","2016","GJM","GJM","3","0"
"WEST_BENGAL","West Bengal","2016","INC","INC","44","0"
"WEST_BENGAL","West Bengal","2016","IND","IND","1","0"
"WEST_BENGAL","West Bengal","2016","ISF","ISF","0","0"
"WEST_BENGAL","West Bengal","2016","RSP","RSP","3","0"
"WEST_BENGAL","West Bengal","2016","TMC","TMC","211","0"
"WEST_BENGAL","West Bengal","2021","AIFB","AIFB","0","0"
"WEST_BENGAL","West Bengal","2021","BJP","BJP","77","0"
"WEST_BENGAL","West Bengal","2021","CPI","CPI","0","0"
"WEST_BENGAL","West Bengal","2021","CPI(M)","CPI(M)","0","0"
"WEST_BENGAL","West Bengal","2021","GJM","GJM","1","0"
"WEST_BENGAL","West Bengal","2021","INC","INC","0","0"
"WEST_BENGAL","West Bengal","2021","IND","IND","0","0"
"WEST_BENGAL","West Bengal","2021","ISF","ISF","1","0"
"WEST_BENGAL","West Bengal","2021","RSP","RSP","0","0"
"WEST_BENGAL","West Bengal","2021","TMC","TMC","215","0"
